1.  **ORR - N (%) | Treatment | Overall**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The study focuses on survival outcomes (overall survival, failure-free survival, progression-free survival, metastatic progression-free survival, skeletal-related events, and disease-specific survival) rather than objective response rates (complete response + partial response).

2.  **ORR - N (%) | Treatment | CR**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The study focuses on survival outcomes (overall survival, failure-free survival, progression-free survival, metastatic progression-free survival, skeletal-related events, and disease-specific survival) rather than objective response rates (complete response + partial response).

3.  **ORR - N (%) | Treatment | SD**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The study focuses on survival outcomes (overall survival, failure-free survival, progression-free survival, metastatic progression-free survival, skeletal-related events, and disease-specific survival) rather than objective response rates (complete response + partial response).

4.  **ORR - N (%) | Treatment | PD**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported as a percentage of patients with progressive disease in the context of an objective response rate assessment. The study reports "Events" for "Progression-free survival" and "Metastatic PFS" (Table 2, page 6; Table 3, page 8), which are counts of progression events over time, not a snapshot percentage of patients with PD.

5.  **ORR - N (%) | Control | Overall**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The study focuses on survival outcomes (overall survival, failure-free survival, progression-free survival, metastatic progression-free survival, skeletal-related events, and disease-specific survival) rather than objective response rates (complete response + partial response).

6.  **ORR - N (%) | Control | CR**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The study focuses on survival outcomes (overall survival, failure-free survival, progression-free survival, metastatic progression-free survival, skeletal-related events, and disease-specific survival) rather than objective response rates (complete response + partial response).

7.  **ORR - N (%) | Control | SD**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The study focuses on survival outcomes (overall survival, failure-free survival, progression-free survival, metastatic progression-free survival, skeletal-related events, and disease-specific survival) rather than objective response rates (complete response + partial response).

8.  **ORR - N (%) | Control | PD**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported as a percentage of patients with progressive disease in the context of an objective response rate assessment. The study reports "Events" for "Progression-free survival" and "Metastatic PFS" (Table 2, page 6; Table 3, page 8), which are counts of progression events over time, not a snapshot percentage of patients with PD.
