Label,Column Name,Definition,eval_category
NCT,NCT,"What is the ClinicalTrials.gov identifier (NCT number) for the trial reported in this paper? If reported, include the value as stated (e.g., NCT02799602). Use 'Not reported' if missing.",exact_match
PubMed ID,PubMed ID,"What is the PubMed ID (PMID) for this publication? If reported, include the value as stated. Use 'Not reported' if missing.",exact_match
Trial Name,Trial Name,"What is the official name or acronym of the trial? If reported, include the value as stated (e.g., ARASENS). Use 'Not reported' if missing.",structured_text
Author,Author,"Who is the first author of the paper? If reported, include the last name and initials followed by 'et al.' (e.g., Smith MR et al.). Use 'Not reported' if missing.",exact_match
Year,Year,"What is the publication year of the paper? If reported, include the year as a 4-digit number. Use 'Not reported' if missing.",exact_match
Full Pub or Abstract,Full Pub or Abstract,"Is this paper a full publication or an abstract? If reported, include 'Full publication' or 'Abstract'. Use 'Not reported' if missing.",exact_match
Phase,Phase,"What is the phase of the trial? If reported, include the phase number (e.g., 1, 2, 3). Use 'Not reported' if missing.",exact_match
Original/Follow Up,Original/Follow Up,"Is this paper the original primary results report or a follow-up analysis? If reported, include 'Original' or 'Follow Up'. Use 'Not reported' if missing.",exact_match
Number of Arms Included,Number of Arms Included,"How many treatment arms are included in the analysis reported in this paper? If reported, include the count as an integer. Use 'Not reported' if missing.",exact_match
Treatment Arm(s),Treatment Arm(s),"What is the regimen of the experimental treatment arm(s)? If reported, include the agents and backbone as stated (e.g., Darolutamide + ADT + docetaxel). Use 'Not reported' if missing.",structured_text
Control Arm,Control Arm,"What is the regimen of the control arm? If reported, include the agents and backbone as stated (e.g., Placebo + ADT + docetaxel). Use 'Not reported' if missing.",structured_text
Class of Agent in Treatment Arm 1,Class of Agent in Treatment Arm 1,"What is the pharmacological class of the add-on agent in the first treatment arm? If reported, include the class and the agent name in parentheses (e.g., Androgen-receptor inhibitor (darolutamide)). Use 'Not reported' if missing.",structured_text
Treatment Arm 1 Regimen,Treatment Arm 1 Regimen,"What is the full treatment regimen for the first experimental arm (Arm 1) described in the trial? Include the drug name(s), dose, frequency, route of administration, and any concurrent backbone therapies (e.g., ADT, chemotherapy) as stated in the methods or results. If multiple experimental arms exist, describe the first one listed. Use 'Not reported' if the regimen is not described.",structured_text
Total Participants - N,Total Participants - N,What is the total number of patients randomized to the trial (or the specific cohort analyzed in this paper)? Include the count of all patients assigned to any arm. Use 'Not reported' if the total randomized count is not stated.,exact_match
Treatment Arm - N,Treatment Arm - N,What is the number of patients randomized to the first experimental arm (Arm 1)? Include the count of patients assigned to this specific regimen. Use 'Not reported' if the arm size is not stated.,exact_match
Control Arm - N,Control Arm - N,"What is the number of patients randomized to the control arm? Include the count of patients assigned to the comparator regimen (e.g., placebo, standard of care). Use 'Not reported' if the arm size is not stated.",exact_match
Median Follow-Up Duration (mo),Median Follow-Up Duration (mo),"What is the median follow-up duration for overall survival (or the primary endpoint if OS is not specified), in months, for the treatment and control arms? Report the value for each arm separately (e.g., 'Treatment: X mo Control: Y mo'). If only a single median follow-up is given for the whole study, report that value for both or as stated. Use 'Not reported' if missing.",structured_text
Median On-Treatment Duration (mo),Median On-Treatment Duration (mo) | Treatment,"What is the median duration of treatment (on-treatment time) for the first experimental arm, in months? Include the value as stated. Use 'Not reported' if missing.",numeric_tolerance
Median On-Treatment Duration (mo),Median On-Treatment Duration (mo) | Control,"What is the median duration of treatment (on-treatment time) for the control arm, in months? Include the value as stated. Use 'Not reported' if missing.",numeric_tolerance
Quality of Life reported,Quality of Life reported,"Does the paper report any Quality of Life (QoL) or Patient-Reported Outcome (PRO) data? Answer 'Yes' if QoL/PRO results are presented in the text, tables, or figures. Answer 'No' if no QoL/PRO data are reported. Use 'Not reported' if it is unclear whether QoL was assessed.",exact_match
Quality of Life Scale,Quality of Life Scale,"What Quality of Life (QoL) or Patient-Reported Outcome (PRO) scales were used in the trial? List the names of the validated instruments (e.g., FACT-P, EORTC QLQ-C30, BPI). If multiple scales are used, list them separated by commas or semicolons. Use 'Not reported' if no scales are identified.",structured_text
