Label,Column Name,Definition,eval_category
NCT,NCT,"What is the ClinicalTrials.gov identifier (NCT number) for the trial reported in this paper? If reported, include the value as stated (e.g., NCT02799602). Use 'Not reported' if missing.",exact_match
PubMed ID,PubMed ID,"What is the PubMed ID (PMID) for this publication? Extract the value if present in the header, footer, or text. Use 'Not reported' if missing.",exact_match
Trial Name,Trial Name,"What is the official name or acronym of the trial? Include the acronym followed by a short description (e.g., 'ARASENS – Darolutamide and survival...'). Use 'Not reported' if missing.",structured_text
Author,Author,"Who is the first author of the paper? If reported, include the last name and initials followed by 'et al.' (e.g., Smith MR et al.). Use 'Not reported' if missing.",exact_match
Year,Year,"What is the publication year of the paper? If reported, include the year as a 4-digit number. Use 'Not reported' if missing.",exact_match
Full Pub or Abstract,Full Pub or Abstract,Is this paper a full publication or an abstract? Answer 'Full Pub' or 'Abstract' (a conference abstract is 'Abstract'). Use 'Not reported' if it cannot be told.,exact_match
Phase,Phase,"What is the phase of the trial? If reported, include the phase number (e.g., 1, 2, 3). Use 'Not reported' if missing.",exact_match
Original/Follow Up,Original/Follow Up,"Is this paper the original primary results report or a follow-up analysis? Classify as 'Follow Up' if it reports updated, long-term, or secondary results from a trial whose primary results were published earlier, even if labeled 'Original Article'. Otherwise, classify as 'Original'. Use 'Not reported' if missing.",exact_match
Number of Arms Included,Number of Arms Included,"How many arms does the trial include in total, counting the experimental arm(s) and the control arm(s) together? Give the number. Use 'Not reported' if missing.",exact_match
Treatment Arm(s),Treatment Arm(s),"What is the regimen of the experimental treatment arm(s)? If reported, include the agents and backbone as stated (e.g., Darolutamide + ADT + docetaxel). Use 'Not reported' if missing.",structured_text
Control Arm,Control Arm,"What is the regimen of the control arm? If reported, include the agents and backbone as stated (e.g., Placebo + ADT + docetaxel). Use 'Not reported' if missing.",structured_text
Class of Agent in Treatment Arm 1,Class of Agent in Treatment Arm 1,"What is the pharmacological class of the add-on agent(s) in the first treatment arm? List all add-on agents with their class and name in parentheses (e.g., 'Androgen-receptor inhibitor (darolutamide)'). Use 'Not reported' if missing.",structured_text
Treatment Arm 1 Regimen,Treatment Arm 1 Regimen,"What is the full treatment regimen for the first experimental arm (Arm 1) described in the trial? Include the drug name(s), dose, frequency, route of administration, and any concurrent backbone therapies (e.g., ADT, chemotherapy) as stated in the methods or results. If multiple experimental arms exist, describe the first one listed. Use 'Not reported' if the regimen is not described.",structured_text
Total Participants - N,Total Participants - N,"What is the total number of patients randomised into the treatment and control arms of the trial (or of the cohort this paper reports on)? Give the count. If the paper reports several comparative trials, give each trial's total separately with its label. Use 'Not reported' if missing.",exact_match
Treatment Arm - N,Treatment Arm - N,"How many patients were randomised to the experimental arm? Give the count. If the trial has several experimental arms (or the paper reports several trials), give each arm's count separately with its label. Use 'Not reported' if missing.",exact_match
Control Arm - N,Control Arm - N,"How many patients were randomised to the control arm? Give the count. If there are several control arms (or the paper reports several trials), give each count separately with its label. Use 'Not reported' if missing.",exact_match
Median Follow-Up Duration (mo),Median Follow-Up Duration (mo),"What is the median follow-up duration for overall survival (or the primary endpoint if OS is not specified), in months, for the treatment and control arms? Report the value for each arm separately (e.g., 'Treatment: X mo Control: Y mo'). If only a single median follow-up is given for the whole study, report that value for both or as stated. Use 'Not reported' if missing.",structured_text
Median On-Treatment Duration (mo),Median On-Treatment Duration (mo) | Treatment,"What is the median duration of treatment (on-treatment time) for the first experimental arm, in months? Include the value as stated. Use 'Not reported' if missing.",numeric_tolerance
Median On-Treatment Duration (mo),Median On-Treatment Duration (mo) | Control,"What is the median duration of treatment (on-treatment time) for the control arm, in months? Include the value as stated. Use 'Not reported' if missing.",numeric_tolerance
Quality of Life reported,Quality of Life reported,Does the paper report any Quality of Life (QoL) or Patient-Reported Outcome (PRO) data? Answer 'Yes' if QoL/PRO results are presented in the main text or supplementary material. Answer 'No' if no QoL/PRO data are reported. Use 'Not reported' if it is unclear whether QoL was assessed.,exact_match
Quality of Life Scale,Quality of Life Scale,"What Quality of Life (QoL) or Patient-Reported Outcome (PRO) scales were used in the trial? List the full names of the validated instruments, including version numbers or specific sub-scales (e.g., 'Brief Pain Inventory Short-Form'), separated by commas. Use 'Not reported' if no scales are identified.",structured_text
Reporting by prognostic groups - Y/N,Reporting by prognostic groups - Y/N | Synchronous,"Does the paper report outcomes separately for patients with synchronous metastases (metastatic at diagnosis, also called de novo)? Answer 'Yes' when a subgroup table or forest plot gives results for this group (add the paper's label in parentheses when it differs, e.g. 'Yes (de novo)'); otherwise answer 'No'.",structured_text
Reporting by prognostic groups - Y/N,Reporting by prognostic groups - Y/N | Metachronous,"Does the paper report outcomes separately for patients with metachronous metastases (metastases after earlier local treatment, also called recurrent)? Answer 'Yes' when a subgroup table or forest plot gives results for this group; otherwise answer 'No'.",exact_match
Reporting by prognostic groups - Y/N,Reporting by prognostic groups - Y/N | High volume,Does the paper report outcomes separately for patients with high-volume (high-burden) metastatic disease? Answer 'Yes' when a subgroup table or forest plot gives results for this group; otherwise answer 'No'.,structured_text
Reporting by prognostic groups - Y/N,Reporting by prognostic groups - Y/N | Low volume,Does the paper report outcomes separately for patients with low-volume (low-burden) metastatic disease? Answer 'Yes' when a subgroup table or forest plot gives results for this group; otherwise answer 'No'.,exact_match
Mode of metastases - N (%),Mode of metastases - N (%) | Synchronous | Treatment,"What is the count and percentage of patients in the treatment arm who had synchronous (de novo) metastatic disease at diagnosis? Include the value as stated (e.g., '558 (85.7%)'). Include the paper's label only if it uses a non-standard term for synchronous disease (e.g., 'De novo metastatic at diagnosis'). Use 'Not reported' if the count/percentage is not available.",numeric_tolerance
Mode of metastases - N (%),Mode of metastases - N (%) | Synchronous | Control,"What is the count and percentage of patients in the control arm who had synchronous (de novo) metastatic disease at diagnosis? Include the value as stated (e.g., '566 (86.5%)'). Include the paper's label only if it uses a non-standard term for synchronous disease. Use 'Not reported' if the count/percentage is not available.",numeric_tolerance
Mode of metastases - N (%),Mode of metastases - N (%) | Metachronous | Treatment,"What is the count and percentage of patients in the treatment arm who had metachronous (recurrent) metastatic disease? Include the value as stated (e.g., '86 (13.2%)'). Include the paper's label only if it uses a non-standard term for metachronous disease (e.g., 'Recurrent disease'). Use 'Not reported' if the count/percentage is not available.",numeric_tolerance
Mode of metastases - N (%),Mode of metastases - N (%) | Metachronous | Control,"What is the count and percentage of patients in the control arm who had metachronous (recurrent) metastatic disease? Include the value as stated (e.g., '82 (12.5%)'). Include the paper's label only if it uses a non-standard term for metachronous disease. Use 'Not reported' if the count/percentage is not available.",numeric_tolerance
Volume of disease - N (%),Volume of disease - N (%) | High | Treatment,"What number and percentage of patients in the treatment arm had high-volume (high-burden) metastatic disease, as the paper defines it (for example by CHAARTED or LATITUDE criteria)? Give count (percent). If several experimental arms are reported, give each separately. Use 'Not reported' if the paper gives no volume breakdown.",structured_text
Volume of disease - N (%),Volume of disease - N (%) | High | Control,"What number and percentage of patients in the control arm had high-volume (high-burden) metastatic disease, as the paper defines it (for example by CHAARTED or LATITUDE criteria)? Give count (percent). If several control arms are reported, give each separately. Use 'Not reported' if the paper gives no volume breakdown.",structured_text
Trial,Trial,"What is the name of the trial? Include the trial acronym or full name as stated in the paper (e.g., 'ARASENS'). Use 'Not reported' if the trial name is not identifiable.",exact_match
Volume of disease - N (%),Volume of disease - N (%) | Low | Control,"What number and percentage of patients in the control arm had low-volume (low-burden) metastatic disease, as the paper defines it (for example by CHAARTED or LATITUDE criteria)? Give count (percent). If several control arms are reported, give each separately. Use 'Not reported' if the paper gives no volume breakdown.",structured_text
Docetaxel administration - N (%),Docetaxel administration - N (%) | Treatment,"What number and percentage of patients in the treatment arm received docetaxel, before or during the trial? If the paper gives a count of patients who received docetaxel (including prior docetaxel allowed as standard care), give that count (percent). If docetaxel is part of the arm's protocol for every patient and no count is given, answer '100%'. Use 'Not reported' if the paper says nothing about docetaxel use in this arm.",numeric_tolerance
Docetaxel administration - N (%),Docetaxel administration - N (%) | Control,"What number and percentage of patients in the control arm received docetaxel, before or during the trial? If the paper gives a count of patients who received docetaxel (including prior docetaxel allowed as standard care), give that count (percent). If docetaxel is part of the arm's protocol for every patient and no count is given, answer '100%'. Use 'Not reported' if the paper says nothing about docetaxel use in this arm.",numeric_tolerance
Median Age (years),Median Age (years) | Treatment,"What is the median age, in years, of patients in the treatment arm? Include the interquartile range (IQR) or range if reported alongside the median. If only the median is reported, include only the median. Use 'Not reported' if the median age is not stated, including cases where only mean age or age groups are reported.",numeric_tolerance
Median Age (years),Median Age (years) | Control,"What is the median age, in years, of patients in the control arm? Include the interquartile range (IQR) or range if reported alongside the median. If only the median is reported, include only the median. Use 'Not reported' if the median age is not stated, including cases where only mean age or age groups are reported.",numeric_tolerance
Race - N (%),Race - N (%) | White | Treatment,"What is the number and percentage of patients identified as White in the treatment arm? If reported, include the count and percentage as stated (e.g., '345 (53.0%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Race - N (%),Race - N (%) | White | Control,"What is the number and percentage of patients identified as White in the control arm? If reported, include the count and percentage as stated (e.g., '333 (50.9%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Race - N (%),Race - N (%) | Black or African American | Treatment,"What is the number and percentage of patients identified as Black or African American in the treatment arm? If reported, include the count and percentage as stated (e.g., '26 (4.0%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Race - N (%),Race - N (%) | Black or African American | Control,"What is the number and percentage of patients identified as Black or African American in the control arm? If reported, include the count and percentage as stated (e.g., '28 (4.3%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Race - N (%),Race - N (%) | Asian | Treatment,"What is the number and percentage of patients identified as Asian in the treatment arm? If reported, include the count and percentage as stated (e.g., '230 (35.3%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Race - N (%),Race - N (%) | Asian | Control,"What is the number and percentage of patients identified as Asian in the control arm? If reported, include the count and percentage as stated (e.g., '245 (37.5%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Race - N (%),Race - N (%) | Nat. Hawaiian or Pac. Islander | Treatment,"What is the number and percentage of patients identified as Native Hawaiian or Pacific Islander in the treatment arm? If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Race - N (%),Race - N (%) | Nat. Hawaiian or Pac. Islander | Control,"What is the number and percentage of patients identified as Native Hawaiian or Pacific Islander in the control arm? If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Race - N (%),Race - N (%) | Amer. Indian or Alaska Nat. | Treatment,"What is the number and percentage of patients identified as American Indian or Alaska Native in the treatment arm? If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Race - N (%),Race - N (%) | Amer. Indian or Alaska Nat. | Control,"What is the number and percentage of patients identified as American Indian or Alaska Native in the control arm? If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Race - N (%),Race - N (%) | Other | Treatment,"What is the number and percentage of patients identified as 'Other' race in the treatment arm? If reported, include the count and percentage as stated (e.g., '7 (1.1%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Race - N (%),Race - N (%) | Other | Control,"What is the number and percentage of patients identified as 'Other' race in the control arm? If reported, include the count and percentage as stated (e.g., '2 (0.3%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Race - N (%),Race - N (%) | Unknown | Treatment,"What is the number and percentage of patients in the treatment arm categorized as 'Unknown', 'Not reported', or 'Missing' for race/ethnicity? If the paper reports a specific count and percentage for this category, include them as stated (e.g., '43 (6.6%)'). If only the count is reported, include the count. If only the percentage is reported, include the percentage. Use 'Not reported' if the paper does not provide a breakdown of race/ethnicity or does not list an 'Unknown', 'Not reported', or 'Missing' category.",numeric_tolerance
Race - N (%),Race - N (%) | Unknown | Control,"What is the number and percentage of patients in the control arm categorized as 'Unknown', 'Not reported', or 'Missing' for race/ethnicity? If the paper reports a specific count and percentage for this category, include them as stated (e.g., '46 (7.0%)'). If only the count is reported, include the count. If only the percentage is reported, include the percentage. Use 'Not reported' if the paper does not provide a breakdown of race/ethnicity or does not list an 'Unknown', 'Not reported', or 'Missing' category.",numeric_tolerance
Region - N (%),Region - N (%) | North America | Treatment,"What is the number and percentage of patients in the treatment arm who are from North America? If reported, include the count and percentage as stated (e.g., '125 (19.2%)'). Use 'Not reported' if the paper does not provide a specific count or percentage for North America in the treatment arm.",numeric_tolerance
Region - N (%),Region - N (%) | North America | Control,"What is the number and percentage of patients in the control arm who are from North America? If reported, include the count and percentage as stated (e.g., '119 (18.2%)'). Use 'Not reported' if the paper does not provide a specific count or percentage for North America in the control arm.",numeric_tolerance
Region - N (%),Region - N (%) | South America | Treatment,"What number and percentage of patients in the treatment arm are from South America (or Latin America)? Give count (percent). If South American countries are only part of a broader category (for example a footnote says 'Rest of the world' includes Brazil), write 'Included in “<category>”'. Use 'Not reported' if the paper gives no regional breakdown that covers South America.",numeric_tolerance
Region - N (%),Region - N (%) | South America | Control,"What number and percentage of patients in the control arm are from South America (or Latin America)? Give count (percent). If South American countries are only part of a broader category (for example a footnote says 'Rest of the world' includes Brazil), write 'Included in “<category>”'. Use 'Not reported' if the paper gives no regional breakdown that covers South America.",numeric_tolerance
Region - N (%),Region - N (%) | Europe | Treatment,"What is the number and percentage of patients in the treatment arm who are from Europe? If reported, include the count and percentage as stated. If the paper groups Europe into a broader category (e.g., 'Rest of world'), and no specific European data is available, write 'Included in [Category Name]' (e.g., 'Included in Rest of world'). Use 'Not reported' if the paper does not provide any regional breakdown that includes Europe.",structured_text
Region - N (%),Region - N (%) | Europe | Control,"What is the number and percentage of patients in the control arm who are from Europe? If reported, include the count and percentage as stated. If the paper groups Europe into a broader category (e.g., 'Rest of world'), and no specific European data is available, write 'Included in [Category Name]' (e.g., 'Included in Rest of world'). Use 'Not reported' if the paper does not provide any regional breakdown that includes Europe.",structured_text
Region - N (%),Region - N (%) | Africa | Treatment,"What number and percentage of patients in the treatment arm are from Africa? Give count (percent). If the paper says African countries are part of a broader category (for example in a footnote), write 'Included in “<category>”'. Use 'Not reported' if the paper does not mention Africa or African countries.",structured_text
Region - N (%),Region - N (%) | Africa | Control,"What number and percentage of patients in the control arm are from Africa? Give count (percent). If the paper says African countries are part of a broader category (for example in a footnote), write 'Included in “<category>”'. Use 'Not reported' if the paper does not mention Africa or African countries.",structured_text
Region - N (%),Region - N (%) | Asia | Treatment,"What is the number and percentage of patients in the treatment arm who are from Asia? If reported, include the count and percentage as stated. If the paper groups Asia into a broader category (e.g., 'Asia-Pacific'), report the value for that specific category. If the paper groups Asia into a broader category (e.g., 'Rest of world'), and no specific Asian data is available, write 'Included in [Category Name]' (e.g., 'Included in Rest of world'). Use 'Not reported' if the paper does not provide any regional breakdown that includes Asia.",structured_text
Region - N (%),Region - N (%) | Asia | Control,"What is the number and percentage of patients in the control arm who are from Asia? If reported, include the count and percentage as stated. If the paper groups Asia into a broader category (e.g., 'Asia-Pacific'), report the value for that specific category. If the paper groups Asia into a broader category (e.g., 'Rest of world'), and no specific Asian data is available, write 'Included in [Category Name]' (e.g., 'Included in Rest of world'). Use 'Not reported' if the paper does not provide any regional breakdown that includes Asia.",structured_text
Region - N (%),Region - N (%) | Oceania | Treatment,"What is the number and percentage of patients in the treatment arm who are from Oceania? If reported, include the count and percentage as stated. If the paper groups Oceania into a broader category (e.g., 'Rest of world'), and no specific Oceanian data is available, write 'Included in [Category Name]' (e.g., 'Included in Rest of world'). Use 'Not reported' if the paper does not provide any regional breakdown that includes Oceania.",structured_text
Region - N (%),Region - N (%) | Oceania | Control,"What is the number and percentage of patients in the control arm who are from Oceania? If reported, include the count and percentage as stated. If the paper groups Oceania into a broader category (e.g., 'Rest of world'), and no specific Oceanian data is available, write 'Included in [Category Name]' (e.g., 'Included in Rest of world'). Use 'Not reported' if the paper does not provide any regional breakdown that includes Oceania.",structured_text
PS - N (%),PS - N (%) | 0 | Treatment,"What number and percentage of patients in the treatment arm had a performance status of 0 (ECOG, or the equivalent WHO 0-4 scale)? Give count (percent) as reported. Use 'Not reported' if the paper does not give this breakdown for the treatment arm.",numeric_tolerance
