Trial,Column,overall,correctness,completeness,category,ground_truth,predicted,reason
NCT00104715_Gravis_GETUG_EU'15,Docetaxel administration - N (%) | Treatment,0.0,0.0,0.0,numeric_tolerance,192 (100%),,"GT has two numbers (192, 100), but Pred is empty. Therefore, correctness and completeness are both 0.0."
NCT00104715_Gravis_GETUG_EU'15,Docetaxel administration - N (%) | Control,0.0,0.0,0.0,numeric_tolerance,0 (0%),152,"GT has two numbers (0, 0), Pred has one number (152). None of the predicted numbers match the ground truth numbers within the allowed tolerance."
NCT00104715_Gravis_GETUG_EU'15,Median Age (years) | Treatment,0.665,1.0,0.33,numeric_tolerance,63.0 (IQR 57.0–68.2),63.0,"GT contains three numbers: 63.0, 57.0, and 68.2. Pred contains one number: 63.0. The predicted number 63.0 matches the GT number 63.0. Correctness: 1.0 (one predicted number matches the GT number) Completeness: 0.33 (one GT number is captured out of three)"
NCT00104715_Gravis_GETUG_EU'15,Median Age (years) | Control,0.665,1.0,0.33,numeric_tolerance,63.0 (IQR 57.0–68.2),64.0,"GT contains three numbers: 63.0, 57.0, and 68.2. Pred contains one number: 64.0. The predicted number 64.0 is within the tolerance of 0.1 of the GT number 63.0. Correctness: 1.0 (one predicted number matches the GT number) Completeness: 0.33 (one GT number is captured out of three)"
NCT00104715_Gravis_GETUG_EU'15,Adverse Events - N (%) | Treatment-related Grade 5 | Treatment,0.75,1.0,0.5,numeric_tolerance,"4 deaths (2 neutropenia-related, HVD subgroup)",4,"The prediction captured one of the numbers in GT (4). Correctness: 4 in Pred matches 4 in GT, so correctness is 1.0. Completeness: GT has 4 and 2, but Pred only has 4, so completeness is 0.5."
NCT00104715_Gravis_GETUG_EU'15,Median On-Treatment Duration (mo) | Treatment,0.0,0.0,0.0,numeric_tolerance,,5.5,"GT is empty, but Pred has a value. Therefore, correctness and completeness are both 0.0."
NCT00104715_Gravis_GETUG_EU'15,Median On-Treatment Duration (mo) | Control,0.0,0.0,0.0,numeric_tolerance,Median number of docetaxel cycles = 8 (median exposure proxy),,"GT contains the number 8. Pred is empty, so no numbers are extracted. Therefore, correctness and completeness are both 0.0."
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Bone | Control,0.75,1.0,0.5,numeric_tolerance,156 (81%),156,"The GT contains two numbers (156 and 81), while the prediction contains only one (156). The predicted number (156) matches a number in the GT (156). Correctness: 1.0 (The predicted number is correct). Completeness: 0.5 (Only one of the two GT numbers is captured)."
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Bone | Treatment,0.75,1.0,0.5,numeric_tolerance,155 (81%),155,GT has two numbers: 155 and 81. Pred has only 155. 155 matches 155. 81 is missing.
NCT00104715_Gravis_GETUG_EU'15,Median PFS (mo) | High volume | Treatment,0.75,1.0,0.5,numeric_tolerance,bPFS 15.2 mo; rPFS 15.9 mo,15.2,The predicted value matches one of the ground truth values.
NCT00104715_Gravis_GETUG_EU'15,Median PFS (mo) | Low volume | Control,0.75,1.0,0.5,numeric_tolerance,bPFS 22.4 mo; rPFS 23.2 mo,22.4,The predicted value matches one of the ground truth values.
NCT00104715_Gravis_GETUG_EU'15,Median PFS (mo) | High volume | Control,0.75,1.0,0.5,numeric_tolerance,bPFS 9.2 mo; rPFS 9.7 mo,9.2,The predicted value matches one of the ground truth values.
NCT00104715_Gravis_GETUG_EU'15,Median PFS (mo) | Overall | Control,0.0,0.0,0.0,numeric_tolerance,bPFS 22.9 mo; rPFS 22.9 mo,12.9,The predicted value does not match the ground truth value.
NCT00104715_Gravis_GETUG_EU'15,Median PFS (mo) | Low volume | Treatment,0.75,1.0,0.5,numeric_tolerance,bPFS 40.9 mo; rPFS 41.0 mo,40.9,The predicted value matches one of the ground truth values.
NCT00104715_Gravis_GETUG_EU'15,Quality of Life reported,0.0,0.0,0.0,exact_match,No,,"GT is ""No"" and Pred is empty. Empty is equivalent to ""Not reported"", which is different from ""No""."
NCT00104715_Gravis_GETUG_EU'15,Trial Name,0.0,0.0,0.0,exact_match,GETUG-AFU15 – ADT plus docetaxel versus ADT alone in metastatic non-castrate prostate cancer,Randomized Phase 3 GETUG-AFU15 Trial,Not an exact match.
NCT00104715_Gravis_GETUG_EU'15,Author,0.0,0.0,0.0,exact_match,Gravis G. et al.,"Gwenaelle Gravis, Jean-Marie Boher, Florence Joly, Michel Soulie´, Laurence Albiges, Franck Priou, Igor Latorzeff, Remy Delva, Ivan Krakowski, Brigitte Laguerre, Fre´de´ric Rolland, Christine The´odor","Not an exact match, but semantically similar. However, according to the instructions, this should be an exact match."
NCT00104715_Gravis_GETUG_EU'15,TTPSA (mo) | Control,0.0,0.0,0.0,numeric_tolerance,,12.9,"Since the GT is empty and the prediction is not, both correctness and completeness are 0."
NCT00104715_Gravis_GETUG_EU'15,TTPSA (mo) | Treatment,0.0,0.0,0.0,numeric_tolerance,,22.9,"Since the GT is empty and the prediction is not, both correctness and completeness are 0."
NCT00104715_Gravis_GETUG_EU'15,Region - N (%) | Europe | Treatment,0.0,0.0,0.0,numeric_tolerance,Majority France (exact % not reported),192,"GT indicates that the majority of participants were from France, but the exact number or percentage is not reported. Pred reports ""192"". Since GT does not provide a specific number, and the definition asks for number and/or percentage, the prediction is considered incorrect."
NCT00104715_Gravis_GETUG_EU'15,Column 5: Region - N (%) | Europe | Control,0.0,0.0,0.0,numeric_tolerance,,,"GT contains ""Majority France"" which is non-numeric. Pred contains ""193"". Since GT does not contain any numbers, and Pred does, there is no match."
NCT00104715_Gravis_GETUG_EU'15,Treatment Arm(s),0.75,0.5,1.0,structured_text,ADT + Docetaxel,"ADT plus Docetaxel, ADT alone",The prediction includes the correct treatment arm (ADT + Docetaxel) but also includes an incorrect arm (ADT alone).
NCT00104715_Gravis_GETUG_EU'15,Class of Agent in Treatment Arm 1,0.75,1.0,0.5,structured_text,Taxane chemotherapy (docetaxel),chemotherapy,The prediction correctly identifies the class of agent as chemotherapy but misses the more specific 'Taxane' classification and the specific drug name.
NCT00104715_Gravis_GETUG_EU'15,Secondary Endpoint(s),0.75,1.0,0.5,structured_text,Biochemical PFS; Radiographic PFS; subgroup OS by metastatic volume,biochemical progression-free survival (bPFS) and radiographic progression-free survival (rPFS),The prediction correctly identifies biochemical PFS and radiographic PFS. It misses the subgroup OS endpoint.
NCT00104715_Gravis_GETUG_EU'15,COE_RCT_IND_OVERALL_RJ,0.0,0.0,0.0,structured_text,Yes (randomized phase III),,GT has value but Pred is empty.
NCT00104715_Gravis_GETUG_EU'15,Type of Therapy,0.5,0.5,0.5,structured_text,Chemohormonal therapy (ADT + cytotoxic chemotherapy),ADT plus docetaxel or ADT alone,"The prediction captures the essence of chemohormonal therapy (ADT + chemotherapy) by mentioning ADT plus docetaxel. However, it also includes 'ADT alone,' which is a separate treatment type. Thus, some information is correct, and some is extra."
NCT00104715_Gravis_GETUG_EU'15,Treatment Class,0.5,0.5,0.5,structured_text,Chemotherapy (taxane),Androgen Deprivation Therapy and Chemotherapy,"The prediction includes 'Chemotherapy,' which is part of the ground truth. However, it also includes 'Androgen Deprivation Therapy,' which is a different treatment class. The taxane part is missing."
NCT00268476_Attard_STAMPEDE_Lancet'23,Metastases - N (%) | Nodal | Treatment,0.0,0.0,0.0,numeric_tolerance,,Abiraterone trial: 293 (58%); Abiraterone and enzalutamide trial: 278 (60%),"GT is empty, and Pred contains numbers. Therefore, correctness and completeness are both 0."
NCT00268476_Attard_STAMPEDE_Lancet'23,Control Arm - N,0.75,1.0,0.5,numeric_tolerance,"Standard of care (ADT ± docetaxel), N=502 Standard of care (ADT ± docetaxel), N=454",502,"GT contains two numbers: 502 and 454. Pred contains one number: 502. The predicted number matches one of the GT numbers. Correctness: 502 is the only number in Pred and it matches a number in GT, so correctness is 1.0. Completeness: Only one of the two GT numbers is captured in Pred, so completeness"
NCT00268476_Attard_STAMPEDE_Lancet'23,OS Rate (%) | Overall | Treatment,0.0,0.0,0.0,numeric_tolerance,,48,"GT is empty, and Pred has a value. Therefore, correctness and completeness are both 0.0."
NCT00268476_Attard_STAMPEDE_Lancet'23,Adverse Events - N (%) | All-Cause Grade 3 or Higher | Treatment,0.5,0.5,0.5,numeric_tolerance,Abiraterone trial: 271 (54%) Abiraterone + Enzalutamide trial: 302 (68%),271 (54%) of 498,"GT has 271, 54, 302, 68. Pred has 271, 54, 498. 271 and 54 are present in both. 302 and 68 are missing from Pred. 498 is extra. Correctness: 2/3 = 0.66 -> 0.5. Completeness: 2/4 = 0.5."
NCT00268476_Attard_STAMPEDE_Lancet'23,PS - N (%) | 1-2 | Control:,0.75,1.0,0.5,numeric_tolerance,,,Pred contains only the first set of values from GT.
NCT00268476_Attard_STAMPEDE_Lancet'23,Median OS (mo) | Overall | Control:,0.75,1.0,0.5,numeric_tolerance,,,Pred contains only the first value from GT.
NCT00268476_Attard_STAMPEDE_Lancet'23,Phase,0.0,0.0,0.0,exact_match,3.0,Phase 3,"""3.0"" and ""Phase 3"" are not equivalent."
NCT00268476_Attard_STAMPEDE_Lancet'23,Number of Arms Included,0.0,0.0,0.0,exact_match,2,4,Values differ.
NCT00268476_Attard_STAMPEDE_Lancet'23,Author,0.0,0.0,0.0,exact_match,Attard G. et al.,"Gerhardt Attard, Laura Murphy, Noel W Clarke, Ashwin Sachdeva, Craig Jones, Alex Hoyle, William Cross, Robert J Jones, Christopher C Parker, Silke Gillessen, Adrian Cook, Chris Brawley, Clare Gilson, ",Values differ.
NCT00268476_Attard_STAMPEDE_Lancet'23,Reporting by prognostic groups - Y/N | Synchronous,0.0,0.0,0.0,exact_match,No,Y,"""No"" and ""Y"" are not equivalent."
NCT00268476_Attard_STAMPEDE_Lancet'23,Reporting by prognostic groups - Y/N | Metachronous,0.0,0.0,0.0,exact_match,No,,"""No"" and Empty are not equivalent."
NCT00268476_Attard_STAMPEDE_Lancet'23,Trial Name,0.0,0.0,0.0,exact_match,STAMPEDE,STAMPEDE platform protocol,Values differ.
NCT00268476_Attard_STAMPEDE_Lancet'23,Region - N (%) | Europe | Control,0.0,0.0,0.0,numeric_tolerance,,502 (100%),"GT is empty, but Pred is not."
NCT00268476_Attard_STAMPEDE_Lancet'23,Median OS (mo) | Low volume | Control,0.75,1.0,0.5,numeric_tolerance,Abiraterone trial: 68 Abiraterone + Enzalutamide trial: 64,68 months,"The number 68 in Pred matches one of the numbers in GT. However, the number 64 is missing."
NCT00268476_Attard_STAMPEDE_Lancet'23,Total Participants - N,0.5,1.0,0.0,numeric_tolerance,1919 metastatic patients (1003 in abiraterone trial + 916 in abiraterone + enzalutamide trial),1919,"GT contains ""1919"", ""1003"", and ""916"". Pred contains ""1919"". The predicted value ""1919"" matches the first number in GT. Correctness: 1.0 (the one predicted number is correct). Completeness: 0.33 (one out of three GT numbers is captured)."
NCT00268476_Attard_STAMPEDE_Lancet'23,Gleason score - N (%) | ≥ 8 | Treatment,0.75,1.0,0.5,numeric_tolerance,Abiraterone trial: 366 (73%) Abiraterone + Enzalutamide trial: 352 (76%),366 (73%),"GT contains ""366"", ""73"", ""352"", and ""76"". Pred contains ""366"" and ""73"". ""366"" and ""73"" in Pred match ""366"" and ""73"" in GT. Correctness: 1.0 (all predicted numbers are correct). Completeness: 0.5 (two out of four GT numbers are captured)."
NCT00268476_Attard_STAMPEDE_Lancet'23,Gleason score - N (%) | ≤ 7 | Treatment,0.75,1.0,0.5,numeric_tolerance,Abiraterone trial: 115 (23%) Abiraterone + Enzalutamide trial: 79 (17%),115 (23%),"The predicted numbers 115 and 23 are present in GT. However, the GT also contains 79 and 17, which are not in Pred."
NCT00268476_Attard_STAMPEDE_Lancet'23,OS Rate (%) | Overall | Control,0.0,0.0,0.0,numeric_tolerance,,30,"GT is empty, but Pred contains a number."
NCT00268476_Attard_STAMPEDE_Lancet'23,Region - N (%) | Europe | Treatment,0.0,0.0,0.0,numeric_tolerance,,501 (100%),"GT is empty, but Pred contains numbers."
NCT00268476_Attard_STAMPEDE_Lancet'23,Median Age (years) | Control,0.0,0.0,0.0,numeric_tolerance,Abiraterone trial: 67 Abiraterone + Enzalutamide trial: 68,68,Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00268476_Attard_STAMPEDE_Lancet'23,PFS Rate (%) | Overall | Treatment,0.0,0.0,0.0,numeric_tolerance,,HR 0.34 (95% CI 0.29–0.39); p<0.0001. HR 0.36 (95% CI 0.31–0.43); p<0.0001,Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00268476_Attard_STAMPEDE_Lancet'23,Race - N (%) | Nat. Hawaiian or Pac. Islander | Control,0.0,0.0,0.0,numeric_tolerance,,,Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00268476_Attard_STAMPEDE_Lancet'23,Region - N (%) | Africa | Treatment,0.0,0.0,0.0,numeric_tolerance,,,Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00268476_Attard_STAMPEDE_Lancet'23,PS - N (%) | 1-2 | Treatment,0.0,0.0,0.0,numeric_tolerance,Abiraterone trial: 125 (25%) Abiraterone + Enzalutamide trial: 137 (30%),125 (25%),Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00268476_Attard_STAMPEDE_Lancet'23,Median On-Treatment Duration (mo) | Control,0.0,0.0,0.0,numeric_tolerance,,,Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00268476_Attard_STAMPEDE_Lancet'23,Column 5: Adverse Events - N (%) | All-Cause Grade 3 or Higher | Control,0.5,0.5,0.5,numeric_tolerance,,,192 and 38 are present in both. 204 and 45 are missing from the prediction. 502 is an extra number in the prediction
NCT00268476_Attard_STAMPEDE_Lancet'23,Median OS (mo) | High volume | Treatment,0.75,1.0,0.5,numeric_tolerance,Abiraterone trial: 56 Abiraterone + Enzalutamide trial: 54,56 months,GT contains two numbers: 56 and 54. Pred contains one number: 56. The number 56 in Pred matches one of the numbers in GT.
NCT00268476_Attard_STAMPEDE_Lancet'23,Adverse Events - N (%) | Treatment-related Grade 5 | Treatment,0.5,0.5,0.5,numeric_tolerance,Abiraterone + Enzalutamide trial: 2 (<1%),2 of 445,GT contains two numbers: 2 and <1. Pred contains one number: 2 and 445. The number 2 in Pred matches the number 2 in GT. 445 does not appear in GT.
NCT00268476_Attard_STAMPEDE_Lancet'23,Median OS (mo) | Overall | Treatment,0.75,1.0,0.5,numeric_tolerance,Abiraterone trial: 76.6 Abiraterone + Enzalutamide trial: 73.1,76.6 months,GT contains two numbers: 76.6 and 73.1. Pred contains one number: 76.6. 76.6 in Pred matches 76.6 in GT. 73.1 is not captured.
NCT00268476_Attard_STAMPEDE_Lancet'23,Median OS (mo) | High volume | Control,0.75,1.0,0.5,numeric_tolerance,Abiraterone trial: 36 Abiraterone + Enzalutamide trial: 38,36 months,GT contains two numbers: 36 and 38. Pred contains one number: 36. 36 in Pred matches 36 in GT. 38 is not captured.
NCT00268476_Attard_STAMPEDE_Lancet'23,PS - N (%) | 0 | Treatment,0.75,1.0,0.5,numeric_tolerance,Abiraterone trial: 376 (75%) Abiraterone + Enzalutamide trial: 325 (70%),376 (75%),"376 and 75 are present in both GT and Pred. However, GT also contains 325 and 70, which are not in Pred."
NCT00268476_Attard_STAMPEDE_Lancet'23,Previous local therapy - N (%) | Orchiectomy | Treatment,0.0,0.0,0.0,numeric_tolerance,,"3 (1%) [Abiraterone trial, Standard of care plus abiraterone (n=501)]
        1 (<1%) [Abiraterone and enzalutamide trial, Standard of care plus enzalutamide and abiraterone (n=462)]","GT is empty, but Pred contains numbers."
NCT00268476_Attard_STAMPEDE_Lancet'23,Previous local therapy - N (%) | Orchiectomy | Control,0.0,0.0,0.0,numeric_tolerance,,"3 (1%) [Abiraterone trial, Standard of care (n=502)]
        0 [Abiraterone and enzalutamide trial, Standard of care (n=454)]","GT is empty, but Pred contains numbers."
NCT00268476_Attard_STAMPEDE_Lancet'23,Median OS (mo) | Low volume | Treatment,0.75,1.0,0.5,numeric_tolerance,Abiraterone trial: 100 Abiraterone + Enzalutamide trial: 80,100 months,The prediction only captures one of the two numbers in the GT. Correctness: 1.0 (The predicted number matches one of the GT numbers). Completeness: 0.5 (One of the two GT numbers is captured).
NCT00268476_Attard_STAMPEDE_Lancet'23,Treatment Arm - N,0.75,1.0,0.5,numeric_tolerance,"ADT + abiraterone + prednisolone, N=501; ADT + abiraterone + prednisolone + enzalutamide, N=462",501,The prediction only captures one of the two numbers in the GT. Correctness: 1.0 (The predicted number matches one of the GT numbers). Completeness: 0.5 (One of the two GT numbers is captured).
